first_name,second_name,web_name,element_type,assists,bonus,bps,clean_sheets,creativity,creativity_rank,creativity_rank_type,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,influence,influence_rank,influence_rank_type,minutes,own_goals,penalties_missed,penalties_saved,total_points,points_per_game,threat,threat_rank,threat_rank_type,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,yellow_cards,red_cards,now_cost,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall
Dwight,McNeil,McNeil,3,7,6,529,16,931.4,11,8,48,2,200.6,40,22,97,644.2,62,16,3339,0,0,0,123,3.2,430.0,87,44,254514,0,217980,0,0.4,20.5,5,0,60,0,0,0,0
Aaron,Ramsdale,Ramsdale,1,1,13,680,5,24.0,397,3,62,0,99.7,154,4,494,973.8,11,4,3330,0,0,1,126,3.4,0.0,568,54,762720,0,570673,0,0.9,28.6,0,0,44,0,0,-1,1
Wilfried,Zaha,Zaha,3,6,4,337,9,588.0,37,30,46,4,226.4,27,17,133,572.0,87,28,3279,0,0,0,120,3.2,1103.0,20,7,1235227,0,1910673,0,0.4,18.2,5,0,66,0,0,-4,4
Chris,Basham,Basham,2,1,6,639,13,212.1,192,44,37,0,102.7,145,37,423,707.6,52,17,3242,0,0,0,123,3.2,103.0,274,80,297917,0,164553,0,0.8,26.7,4,0,46,0,0,1,-1
Raúl,Jiménez,Jiménez,4,7,33,685,15,668.2,27,2,36,17,325.4,4,1,409,911.6,15,4,3241,0,0,0,194,5.1,1680.0,3,1,4677222,0,3995389,0,0.5,24.2,3,0,80,0,0,5,-5
Maximillian,Aarons,Aarons,2,2,3,489,5,385.2,104,21,71,0,119.0,112,24,274,566.6,88,34,3240,0,0,0,66,1.8,237.0,170,29,122237,0,216612,0,0.2,15.7,7,0,42,0,0,-3,3
Dean,Henderson,Henderson,1,1,16,688,13,10.0,430,10,33,0,74.8,215,11,471,718.8,48,12,3240,0,0,1,160,4.4,18.0,399,1,2069503,0,1128970,0,0.7,30.8,2,0,52,0,0,7,-7
Tim,Krul,Krul,1,0,10,668,5,0.0,626,60,68,0,106.3,137,1,280,1063.0,2,1,3240,1,0,2,109,3.0,0.0,615,57,299433,0,249432,0,0.4,23.7,4,0,46,0,0,1,-1
Jack,Grealish,Grealish,3,7,19,601,7,1209.2,4,3,63,8,287.0,10,6,29,826.6,28,8,3233,0,1,0,149,4.1,837.0,37,17,3451403,0,2863872,0,0.6,25.3,8,0,59,0,0,-1,1
Lewis,Dunk,Dunk,2,3,17,674,9,171.8,221,56,50,3,146.8,71,9,42,825.6,29,6,3230,0,0,0,128,3.6,469.0,79,3,1699421,0,1364752,0,0.6,26.7,9,0,48,0,0,3,-3
César,Azpilicueta,Azpilicueta,2,6,16,700,8,708.7,25,4,53,2,205.4,35,4,105,905.2,16,4,3229,0,0,0,130,3.6,438.0,85,6,764717,0,719587,0,0.7,21.3,1,0,61,0,0,1,-1
John,Egan,Egan,2,1,9,592,13,25.4,394,147,33,2,125.4,102,19,295,641.4,64,24,3187,0,0,0,133,3.7,587.0,61,2,872633,0,362856,0,1.1,28.3,3,1,47,0,0,2,-2
Trent,Alexander-Arnold,Alexander-Arnold,2,15,24,904,14,1380.3,2,1,32,4,282.8,12,1,182,1026.8,4,1,3173,0,0,0,210,5.5,420.0,93,9,3086983,0,2030884,0,0.4,27.3,5,0,77,0,0,7,-7
Abdoulaye,Doucouré,Doucouré,3,4,9,459,10,539.0,48,37,61,4,173.4,51,28,368,529.6,119,40,3156,1,0,0,113,3.1,667.0,48,24,361157,0,454787,0,0.4,20.9,9,0,54,0,0,-6,6
Ashley,Westwood,Westwood,3,7,11,567,15,814.2,16,13,39,2,154.7,62,35,101,596.8,80,25,3150,0,0,0,118,3.4,135.0,245,128,140007,0,136532,0,0.6,21.5,9,0,55,0,0,0,0
Vicente,Guaita,Guaita,1,0,16,643,10,0.0,641,68,42,0,82.6,197,9,131,827.2,27,9,3150,1,0,0,137,3.9,0.0,637,65,385764,0,334103,0,0.4,28.0,1,0,49,0,0,-1,1
Jordan,Ayew,Ayew,4,3,19,443,12,445.6,74,9,45,9,192.4,43,16,468,597.4,79,11,3148,0,0,0,132,3.6,885.0,34,18,1864841,0,1618161,0,0.5,25.9,6,0,51,0,0,1,-1
Pierre-Emerick,Aubameyang,Aubameyang,4,5,37,807,10,479.6,61,5,44,22,285.2,11,5,11,1006.0,9,3,3136,0,0,0,205,5.7,1369.0,9,7,3870546,0,4120318,0,0.6,18.8,3,1,109,0,0,-1,1
Andrew,Robertson,Robertson,2,12,20,847,13,980.2,10,3,31,2,221.7,29,2,181,845.8,23,5,3111,0,0,0,181,5.0,389.0,99,12,1576594,0,2400141,0,0.7,25.9,2,0,70,0,0,0,0
João Filipe Iria,Santos Moutinho,Moutinho,3,7,12,617,11,1200.1,5,4,36,1,204.0,38,20,415,712.0,50,14,3105,0,0,0,113,3.0,122.0,257,133,684882,0,836481,0,0.4,21.3,7,0,53,0,0,-2,2
